# CW-ODMR camera-only acquisition
# exposure_s = 0.05
# n_frames_per_point = 300
# ROI: x=1160, y=1016, half=100
# columns: freq_MHz  mean_intensity  std_intensity  n_frames
 2869.0000      439.3766      2.6961    300
 2869.1000      440.1265      0.9728    300
 2869.2000      440.1339      1.1981    300
 2869.3000      439.4440      1.8171    300
 2869.4000      440.8891      0.8235    300
 2869.5000      441.2743      1.1787    300
 2869.6000      442.8307      1.0428    300
 2869.7000      443.3129      1.9234    300
 2869.8000      444.6103      2.5761    300
 2869.9000      445.3331      2.7012    300
 2870.0000      446.5201      2.3239    300
 2870.1000      447.3009      2.5196    300
 2870.2000      449.5962      1.2014    300
 2870.3000      450.0521      0.8228    300
 2870.4000      451.0459      1.9475    300
 2870.5000      453.6783      1.2695    300
 2870.6000      454.3762      2.6853    300
 2870.7000      456.0343      2.8868    300
 2870.8000      457.9945      1.7525    300
 2870.9000      458.4682      1.8415    300
 2871.0000      460.0359      1.4317    300
